# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 30 02:35:22 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_radestr > 0
# CONSTRAINT:  and pl_massestr > 0)
# CONSTRAINT:  order by pl_rade asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,st_mass,st_masserr1,st_masserr2,st_masslim
Kepler-37 b,Kepler-37,0,1,4,0.29631048,0.03730748,-0.03730748,0,3.17830000,3.17830000,-3.17830000,0,0.870000,0.150000,-0.150000,0
Kepler-37 b,Kepler-37,1,1,4,0.30980000,0.00590000,-0.00760000,0,0.79000000,,,1,0.790000,0.033000,-0.030000,0
Kepler-37 b,Kepler-37,0,1,4,0.32000000,0.02000000,-0.02000000,0,10.00000000,,,1,0.800000,0.070000,-0.070000,0
Kepler-102 b,Kepler-102,1,1,5,0.46000000,0.02600000,-0.02600000,0,1.10000000,,,1,0.803000,0.021000,-0.021000,0
Kepler-102 b,Kepler-102,0,1,5,0.47000000,0.02000000,-0.02000000,0,4.30000000,,,1,0.800000,0.060000,-0.060000,0
Kepler-444 d,Kepler-444,0,3,5,0.50000000,0.04000000,-0.04000000,0,0.20000000,0.50000000,-0.10000000,0,0.700000,0.100000,-0.030000,0
Kepler-444 e,Kepler-444,0,3,5,0.50000000,0.03000000,-0.04000000,0,0.10000000,0.20000000,-0.10000000,0,0.700000,0.100000,-0.030000,0
KOI-4777.01,KOI-4777,1,1,1,0.51000000,0.03000000,-0.03000000,0,99.20000000,,,1,0.410000,0.020000,-0.020000,0
Kepler-138 b,Kepler-138,0,1,4,0.52200000,0.03200000,-0.03200000,0,0.06600000,0.05900000,-0.03700000,0,0.521000,0.055000,-0.055000,0
Kepler-62 c,Kepler-62,1,1,5,0.54000000,0.03000000,-0.03000000,0,4.00000000,,,1,0.690000,0.020000,-0.020000,0
Kepler-102 c,Kepler-102,1,1,5,0.56700000,0.02800000,-0.02800000,0,1.70000000,,,1,0.803000,0.021000,-0.021000,0
Kepler-102 c,Kepler-102,0,1,5,0.58000000,0.02000000,-0.02000000,0,3.00000000,,,1,0.800000,0.060000,-0.060000,0
KOI-1843.03,Kepler-974,1,1,2,0.61000000,0.12000000,-0.08000000,0,8.00000000,,,1,0.460000,0.080000,-0.050000,0
Kepler-138 b,Kepler-138,1,1,4,0.64000000,0.02000000,-0.02000000,0,0.07000000,0.02000000,-0.02000000,0,0.535000,0.012000,-0.012000,0
LHS 1678 b,LHS 1678,0,2,3,0.69600000,0.04400000,-0.04400000,0,0.35000000,,,1,0.345000,0.014000,-0.014000,0
GJ 367 b,GJ 367,1,1,3,0.69900000,0.02400000,-0.02400000,0,0.63300000,0.05000000,-0.05000000,0,0.455000,0.011000,-0.011000,0
Kepler-138 b,Kepler-138,0,1,4,0.70100000,0.06600000,-0.06600000,0,0.18700000,0.05000000,-0.05000000,0,0.551000,0.068000,-0.068000,0
Kepler-138 b,Kepler-138,0,1,4,0.71000000,0.10000000,-0.10000000,0,0.50000000,0.30000000,-0.20000000,0,0.593000,,,0
GJ 367 b,GJ 367,0,1,3,0.71800000,0.05400000,-0.05400000,0,0.54600000,0.07800000,-0.07800000,0,0.454000,0.011000,-0.011000,0
HD 23472 d,HD 23472,1,1,5,0.75000000,0.06700000,-0.05700000,0,0.55000000,0.21000000,-0.20000000,0,0.670000,0.030000,-0.030000,0
Kepler-37 c,Kepler-37,0,1,4,0.75000000,0.03000000,-0.03000000,0,12.00000000,,,1,0.800000,0.070000,-0.070000,0
Kepler-37 c,Kepler-37,1,1,4,0.75500000,0.03300000,-0.05500000,0,1.30000000,,,1,0.790000,0.033000,-0.030000,0
TRAPPIST-1 h,TRAPPIST-1,1,1,7,0.75500000,0.01400000,-0.01400000,0,0.32600000,0.02000000,-0.02000000,0,0.089800,0.002300,-0.002300,0
KOI-55 b,KOI-55,1,1,2,0.75900000,,,0,0.44000000,,,0,0.496000,0.002000,-0.002000,0
TRAPPIST-1 d,TRAPPIST-1,0,1,7,0.77200000,0.03000000,-0.03000000,0,0.41000000,0.27000000,-0.27000000,0,0.080200,0.007300,-0.007300,0
TRAPPIST-1 h,TRAPPIST-1,0,1,7,0.77300000,0.02600000,-0.02700000,0,0.33100000,0.05600000,-0.04900000,0,0.089000,0.007000,-0.007000,0
TRAPPIST-1 d,TRAPPIST-1,0,1,7,0.78400000,0.02300000,-0.02300000,0,0.29700000,0.03900000,-0.03500000,0,0.089000,0.007000,-0.007000,0
TRAPPIST-1 d,TRAPPIST-1,1,1,7,0.78800000,0.01100000,-0.01000000,0,0.38800000,0.01200000,-0.01200000,0,0.089800,0.002300,-0.002300,0
Kepler-345 b,Kepler-345,0,1,2,0.80000000,0.10000000,-0.10000000,0,0.50000000,0.30000000,-0.30000000,0,0.700000,0.030000,-0.040000,0
L 98-59 b,L 98-59,0,1,5,0.80000000,0.05000000,-0.05000000,0,1.01000000,,,1,0.312000,0.031000,-0.031000,0
Kepler-1972 b,Kepler-1972,1,1,2,0.80200000,0.04200000,-0.04100000,0,2.02000000,0.56000000,-0.62000000,0,1.120000,0.030000,-0.030000,0
TRAPPIST-1 d,TRAPPIST-1,0,1,7,0.80400000,0.01400000,-0.01200000,0,0.38800000,0.01200000,-0.01200000,0,0.089800,0.002300,-0.002300,0
HD 23472 e,HD 23472,1,1,5,0.81800000,0.08000000,-0.06500000,0,0.72000000,0.28000000,-0.27000000,0,0.670000,0.030000,-0.030000,0
Kepler-106 b,Kepler-106,1,1,4,0.82000000,0.11000000,-0.11000000,0,5.30000000,,,1,1.000000,0.060000,-0.060000,0
Kepler-408 b,Kepler-408,1,1,1,0.82000000,0.03000000,-0.03000000,0,5.00000000,,,1,1.080000,0.070000,-0.070000,0
Kepler-20 e,Kepler-20,1,2,6,0.82100000,0.02200000,-0.02200000,0,0.76000000,,,1,0.929000,0.053000,-0.053000,0
L 98-59 b,L 98-59,1,1,5,0.83700000,0.01900000,-0.01900000,0,0.46000000,0.11000000,-0.11000000,0,0.292300,0.006700,-0.006700,0
Kepler-131 c,Kepler-131,1,1,2,0.84000000,0.07000000,-0.07000000,0,8.25000000,5.90000000,-5.90000000,0,1.020000,0.060000,-0.060000,0
Kepler-406 c,Kepler-406,1,1,2,0.85000000,0.03000000,-0.03000000,0,2.71000000,1.80000000,-1.80000000,0,1.070000,0.060000,-0.060000,0
L 98-59 b,L 98-59,0,1,5,0.85000000,0.06100000,-0.04700000,0,0.40000000,0.16000000,-0.15000000,0,0.273000,0.030000,-0.030000,0
Kepler-1876 b,Kepler-1876,1,1,1,0.85300000,0.03900000,-0.02600000,0,2.40000000,,,1,1.187000,0.075000,-0.088000,0
Kepler-107 d,Kepler-107,0,1,4,0.86000000,0.06000000,-0.06000000,0,3.80000000,,,1,1.238000,0.029000,-0.029000,0
