filename,sub_id,snapshot,view,Name,Name_ext,snapshot_n,SubfindID,c_axis,b_axis,a_axis,Name_joined,snapshot_joined,subhalo_id,view_joined,stellar_mass,re_kpc,sample_manga,manga_ifu_dsn,distances_selec,n_star_part,n_gas_cell,type,c/a,c/b,b/a,c_a,b_a
TNG50-96-59-0-127.cube_maps.fits,59,96,0,96_59,96_59_0,96,59,1.0190992,2.0606945,2.1361024,96_59,96,59,0,9.580186,4.321635,2,127,0.015675161,66966,0,1,0.4770834956226818,0.4945416217687775,0.964698368392826,0.4770834956226818,0.9646983683928261
TNG50-96-576846-0-127.cube_maps.fits,576846,96,0,96_576846,96_576846_0,96,576846,0.83576447,1.9469036,2.2016354,96_576846,96,576846,0,10.501502,3.971243,0,61,0.017527496,561212,428683,-1,0.379610752080022,0.4292788148319208,0.8842988262270857,0.379610752080022,0.8842988262270857
TNG50-97-677968-0-127.cube_maps.fits,677968,97,0,97_677968,97_677968_0,97,677968,0.87228185,2.3174722,2.4485645,97_677968,97,677968,0,9.506856,4.649753,1,127,0.026237981,51481,178478,1,0.3562421369745416,0.3763936628883833,0.9464615696257952,0.35624213697454166,0.9464615696257952
TNG50-96-572097-0-127.cube_maps.fits,572097,96,0,96_572097,96_572097_0,96,572097,1.4328899,3.7684305,3.8901465,96_572097,96,572097,0,10.498256,7.341699,1,19,0.035307173,540892,517398,1,0.3683382875169353,0.3802351934047874,0.968711718183364,0.36833828751693537,0.968711718183364
TNG50-89-314723-0-127.cube_maps.fits,314723,89,0,89_314723,89_314723_0,89,314723,3.7886815,7.229578,7.9796815,89_314723,89,314723,0,11.369031,15.842953,1,61,0.44673258,4399607,4370489,1,0.4747910677888585,0.524052925357469,0.9059983158475686,0.4747910677888585,0.9059983158475686
TNG50-96-574540-0-127.cube_maps.fits,574540,96,0,96_574540,96_574540_0,96,574540,1.2964164,2.77615,2.8345175,96_574540,96,574540,0,10.312424,6.6113644,0,19,0.14278233,351361,530446,1,0.4573675766686923,0.4669835563640293,0.9794083119966626,0.4573675766686923,0.9794083119966626
TNG50-96-588269-0-127.cube_maps.fits,588269,96,0,96_588269,96_588269_0,96,588269,1.3735574,3.1016786,3.2718422,96_588269,96,588269,0,10.196709,7.596487,0,127,0.04761914,272087,521259,1,0.4198116278346187,0.4428432397863531,0.947991501546132,0.4198116278346187,0.947991501546132
TNG50-97-251669-0-127.cube_maps.fits,251669,97,0,97_251669,97_251669_0,97,251669,0.51254946,0.64548445,0.79042333,97_251669,97,251669,0,9.235185,1.7040957,0,19,0.9142704,31161,0,3,0.6484493062723744,0.7940539233749163,0.8166313233694659,0.6484493062723744,0.8166313233694659
TNG50-97-593464-0-127.cube_maps.fits,593464,97,0,97_593464,97_593464_0,97,593464,0.68785447,1.5100108,1.5354708,97_593464,97,593464,0,9.279471,3.3079102,1,127,0.0142895235,32099,68749,1,0.4479762623945698,0.4555295034975908,0.9834187664135328,0.44797626239456984,0.9834187664135327
TNG50-97-446530-0-127.cube_maps.fits,446530,97,0,97_446530,97_446530_0,97,446530,0.76022905,0.8310922,0.8409825,97_446530,97,446530,0,9.095086,2.1615674,1,37,0.011365441,22158,541,0,0.90397725279658,0.914734911481542,0.9882395888142738,0.9039772527965801,0.9882395888142738
TNG50-97-298536-1-127.cube_maps.fits,298536,97,1,97_298536,97_298536_1,97,298536,0.46431664,0.49860528,0.8178072,97_298536,97,298536,1,10.277268,1.5103817,1,61,0.70829916,359488,176,2,0.5677580730519369,0.9312308927013369,0.6096856080504061,0.5677580730519369,0.6096856080504061
TNG50-95-118846-0-127.cube_maps.fits,118846,95,0,95_118846,95_118846_0,95,118846,1.3195616,3.9971893,4.2101574,95_118846,95,118846,0,10.42131,8.524501,0,61,0.8432197,444038,308801,1,0.3134233413696124,0.3301223687354511,0.9494156441752036,0.3134233413696124,0.9494156441752035
TNG50-95-661834-0-127.cube_maps.fits,661834,95,0,95_661834,95_661834_0,95,661834,1.0245203,2.290327,2.36582,95_661834,95,661834,0,9.6313715,4.6881833,2,91,0.005835761,70956,155819,1,0.433050823815844,0.4473249016406828,0.968090133653448,0.43305082381584403,0.968090133653448
TNG50-97-421479-0-127.cube_maps.fits,421479,97,0,97_421479,97_421479_0,97,421479,2.5581353,3.8698316,3.8868604,97_421479,97,421479,0,10.953964,8.422026,-1,91,0.06061015,1838978,1649850,1,0.6581495183104594,0.6610456382649829,0.99561888047227,0.6581495183104594,0.99561888047227
TNG50-96-627041-0-127.cube_maps.fits,627041,96,0,96_627041,96_627041_0,96,627041,0.91778916,3.2797685,3.464502,96_627041,96,627041,0,10.075177,6.8929687,1,127,0.21469751,198750,219836,1,0.2649122904244246,0.2798335187376792,0.946678195019082,0.26491229042442466,0.9466781950190821
TNG50-96-238707-0-127.cube_maps.fits,238707,96,0,96_238707,96_238707_0,96,238707,1.5931696,3.5735025,3.7750084,96_238707,96,238707,0,10.652464,7.4872637,0,127,0.053673893,803221,170461,1,0.4220307430309294,0.4458285953346891,0.9466210724193356,0.4220307430309294,0.9466210724193356
TNG50-98-185266-0-127.cube_maps.fits,185266,98,0,98_185266,98_185266_0,98,185266,0.90370035,1.1787078,1.1860756,98_185266,98,185266,0,8.923744,3.0638092,1,127,0.011619976,15755,0,1,0.7619247457750586,0.7666873418501177,0.993788085683577,0.7619247457750586,0.993788085683577
TNG50-91-517750-0-127.cube_maps.fits,517750,91,0,91_517750,91_517750_0,91,517750,2.4315808,7.127059,7.6854753,91_517750,91,517750,0,10.639993,14.265749,2,19,0.9723333,733280,794605,1,0.3163865219890824,0.3411759043947861,0.9273413447831912,0.3163865219890824,0.9273413447831912
TNG50-94-515782-0-127.cube_maps.fits,515782,94,0,94_515782,94_515782_0,94,515782,2.2076871,8.272578,9.026365,94_515782,94,515782,0,10.609682,16.060295,1,127,0.41911408,679035,745438,1,0.244582077059813,0.2668680911802826,0.9164905252557368,0.24458207705981308,0.9164905252557368
